"Bloc","Nom_Bloc","Object","Inicial_Pregunta","Pregunta","Rephrase","PreguntaG","Tipus","PackIni","PackFi","nCols","TipusDescriptiva","Respostes","Columnes","NamesCOL","Colcurt","Eticol"
1,"ASPECTES GENERALS","Bloc",,,,,,,,,,,,,,
,,"Qüestio","1","La meva motivació per la colla...","1 .Motivacio","La meva motivació per la colla...","Grid",2,8,6,"a ",,,,,
,,"Separador",,,,,,,,,,"Files","Columnes",,,
,,"Modalitat","1","La meva motivació per la colla... [Inici de temporada]","Inici",,,,,,,"Inici de temporada","No inscrit a la colla",2,"NoColla",
,,"Modalitat","1","La meva motivació per la colla... [Final 1r Tram]","Final 1r Tram",,,,,,,"Final 1r Tram","Molt baixa",3,"Molt baixa",
,,"Modalitat","1","La meva motivació per la colla... [Final 2n Tram]","Final 2n Tram",,,,,,,"Final 2n Tram","Baixa",4,"Baixa",
,,"Modalitat",,,,,,,,,,,"Alta",,"Alta",
,,"Modalitat",,,,,,,,,,,"Molt alta",,"Molt Alta",
,,"Modalitat",,,,,,,,,,,"NS/NC",,"NS",
,,"Qüestio","1","Implicacio general de la colla","1 .Implicacio","Implicacio general de la colla","Grid",5,10,5,"a ",,,,,
,,"Separador",,,,,,,,,,"Files","Columnes",,,
,,"Modalitat","1","Implicacio general de la colla [Grau de satisfacció general amb la colla]","SatisColla",,,,,,,"Grau de satisfacció general amb la colla","Molt baixa",5,"Molt baixa",
,,"Modalitat","1","Implicacio general de la colla [Grau de satisfacció dels castells assolits aquesta temporada]","SatisCastells",,,,,,,"Grau de satisfacció dels castells assolits aquesta temporada","Baixa",6,"Baixa",
,,"Modalitat",,,,,,,,,,,"Alta",,"Alta",
,,"Modalitat",,,,,,,,,,,"Molt alta",,"Molt alta",
,,"Modalitat",,,,,,,,,,,"NS/NC",,"NS",
2,"VALORACIÓ TÈCNICA","Bloc",,,,,,,,,,,,,,
,,"Qüestio","1","Valoració dels següents àmbits tècnics","1 .Tecnica","Valoració dels següents àmbits tècnics","Grid",7,13,5,"a ",,,,,
,,"Separador",,,,,,,,,,"Files","Columnes",,,
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Grau acord amb la tasca realitzada per els 3 caps de colla]","CdC",,,,,,,"Grau acord amb la tasca realitzada per els 3 caps de colla","Molt dolenta",7,"Molt dolenta",
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Valoració global de l’equip tècnic]","GLOB",,,,,,,"Valoració global de l’equip tècnic","Dolenta",8,"Dolenta",
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Valoració de la tècnica de canalla]","CAN",,,,,,,"Valoració de la tècnica de canalla","Bona",9,"Bona",
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Valoració de la tècnica de tronc]","TRO",,,,,,,"Valoració de la tècnica de tronc","Molt bona",10,"Molt bona",
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Valoració de la tècnica de pinyes]","PINY",,,,,,,"Valoració de la tècnica de pinyes","NS/NC",11,"NS",
,,"Modalitat","1","Valoració dels següents àmbits tècnics [Grau de coneixement de la posició que ocupes]","CONEIX",,,,,,,"Grau de coneixement de la posició que ocupes",,12,,
,,"Separador",,,,,,,,,,,,,,
,,"Qüestio","1","Afegiries més hores a la setmana?","1.HoresSetmanals",,"Simple Response",,,,"b",,,13,,
,,"Modalitat",,,"Si",,,,,,,"Si",,,,13
,,"Modalitat",,,"No",,,,,,,"No",,,,13
,,"Modalitat",,,"NS",,,,,,,"NS/NC",,,,13
